userid,total_events,\assignsubmission_comments\event\comment_created,\assignsubmission_file\event\assessable_uploaded,\assignsubmission_file\event\submission_created,\core\event\badge_listing_viewed,\core\event\course_module_completion_updated,\core\event\course_user_report_viewed,\core\event\recent_activity_viewed,\core\event\user_list_viewed,\core\event\user_profile_viewed,\gradereport_overview\event\grade_report_viewed,\gradereport_user\event\grade_report_viewed,\mod_assign\event\feedback_viewed,\mod_data\event\course_module_viewed,\mod_data\event\record_created,\mod_data\event\record_updated,\mod_folder\event\course_module_viewed,\mod_page\event\course_module_viewed,\mod_quiz\event\attempt_reviewed,\mod_quiz\event\attempt_started,\mod_quiz\event\attempt_summary_viewed,\mod_quiz\event\course_module_viewed,\mod_resource\event\course_module_viewed,\mod_url\event\course_module_viewed,mean_module_grade,cluster
8609,0.7614457831,0.0,0.5357142857,1.0,0.0,0.2222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.5961538462,0.3617021277,1.0,0.0,0.4634146341,0.8333333333,0.6,1.0,1.0,0.7333333333,0.8591549296,1.0,0.8513513514,0
8670,1.0,1.0,1.0,0.3846153846,0.0,0.6111111111,0.7272727273,0.0,1.0,0.0,0.0,0.2424242424,1.0,0.2127659574,1.0,0.0,0.1707317073,0.25,0.2,1.0,0.6666666667,0.2666666667,0.4788732394,0.25,0.8078078078,0
8671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
8860,0.2032128514,0.0,0.2857142857,0.6153846154,0.0,0.1111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0576923077,0.0,0.0,0.0,0.0487804878,0.0,0.0,0.0,0.0,0.3333333333,0.0563380282,0.0,0.027027027,1
8964,0.3911646586,0.0,0.25,0.5384615385,0.0,0.0888888889,0.0,0.0,1.0,1.0,0.0,0.303030303,0.3653846154,0.0,0.0,0.0,0.1219512195,0.0833333333,0.0,0.0,0.0,0.0666666667,0.338028169,0.0,0.0,1
9043,0.7357429719,0.0,0.5,1.0,0.0,0.2111111111,0.0,0.0,0.0,0.0,0.0,0.1212121212,0.5769230769,0.2340425532,1.0,0.0,0.4146341463,0.4166666667,0.4,1.0,0.6666666667,0.5333333333,0.676056338,0.0,0.6351351351,0
9109,0.9718875502,0.0,0.4642857143,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7272727273,0.2692307692,0.5319148936,1.0,0.0,0.7804878049,0.9166666667,0.8,1.0,0.0,0.6666666667,0.9577464789,0.5,0.8243243243,0
9146,0.7164658635,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3636363636,0.2115384615,0.2765957447,1.0,0.0,0.243902439,0.5,1.0,1.0,0.6666666667,0.8,0.6901408451,0.25,0.5675675676,0
9151,0.4706827309,0.0,0.6785714286,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2272727273,0.25,0.085106383,1.0,0.0,0.1951219512,0.0833333333,0.4,1.0,0.3333333333,0.4,0.2394366197,1.0,0.6351351351,0
9152,0.6032128514,0.0,0.4642857143,1.0,0.0,0.6555555556,1.0,0.0,0.0,0.0,0.0,0.0,0.1538461538,0.2978723404,1.0,0.0,0.3414634146,0.1666666667,0.4,1.0,0.3333333333,0.3333333333,0.4647887324,0.0,0.6891891892,0
9169,0.4481927711,0.0,0.5,1.0,0.0,0.3777777778,0.2272727273,0.5,0.0,0.0,0.0,0.0151515152,0.0576923077,1.0,1.0,0.0,0.3902439024,0.25,0.8,1.0,0.3333333333,0.4,0.1690140845,0.0,0.7432432432,0
9183,0.4514056225,0.0,0.3571428571,0.6923076923,0.0,0.1111111111,0.0454545455,0.0,0.0,0.0,0.5,0.0909090909,0.0961538462,0.3829787234,1.0,0.0,0.243902439,0.0,0.6,1.0,0.3333333333,0.4666666667,0.7605633803,0.0,0.7189189189,0
9220,0.9341365462,0.0,0.5,1.0,0.0,0.7555555556,0.0,0.5,0.0,0.0,0.0,1.0,0.3076923077,0.4893617021,1.0,1.0,1.0,1.0,0.8,1.0,0.3333333333,1.0,1.0,0.5,0.5135135135,0
9227,0.4192771084,0.0,0.2857142857,0.6153846154,0.0,0.0888888889,0.0,0.0,0.0,0.0,0.0,0.1212121212,0.0769230769,0.0212765957,0.0,0.0,0.2926829268,0.3333333333,1.0,1.0,0.6666666667,0.5333333333,0.4084507042,0.0,0.8108108108,0
9260,0.59437751,0.0,0.4642857143,1.0,0.0,0.1111111111,0.0,0.0,0.0,0.0,0.0,0.6515151515,0.1153846154,0.0212765957,0.0,0.0,0.0731707317,0.5833333333,1.0,1.0,0.3333333333,0.7333333333,0.1408450704,0.25,0.5945945946,0
