Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:Get login page,22,123,113,133,5.06,0.000%,1.04320,19.56,0.14,19204.0
Thread Group:Login,22,469,442,523,22.21,0.000%,.41522,87.99,0.42,217008.0
Thread Group:test login,22,350,311,367,11.13,0.000%,.27561,57.46,0.15,213484.8
Thread Group:View Chủ đề 1,45,307,285,344,15.88,0.000%,.05809,15.05,0.02,265396.4
Thread Group:View Section 1,30,322,287,525,50.92,0.000%,.19586,61.58,0.06,321965.5
Thread Group:View Bài 1,18,368,252,1660,315.55,0.000%,.14566,27.70,0.04,194732.4
Thread Group:View pdf bai 1,24,542,452,865,100.01,0.000%,.15405,847.65,0.05,5634395.0
Thread Group:Start Quiz 1,10,395,350,515,50.56,0.000%,.11671,18.30,0.07,160573.9
Thread Group:View video 1,12,275,264,295,8.32,0.000%,.10120,15.70,0.03,158862.0
Thread Group:Get bộ câu hỏi easy 1,22,300,275,486,41.89,0.000%,.12527,19.38,0.05,158464.6
Thread Group:Submit câu 1,28,360,346,427,18.58,0.000%,.05514,8.65,0.05,160643.9
Thread Group:Start Quiz easy bai 1,12,358,329,418,24.92,0.000%,.13964,21.88,0.09,160443.1
Thread Group:Submit câu 2,28,362,348,393,10.44,0.000%,.05682,8.91,0.05,160637.6
Thread Group:Submit câu 3,28,362,331,504,29.09,0.000%,.05868,9.21,0.05,160637.6
Thread Group:Submit Quiz,34,364,348,400,11.19,0.000%,.07432,12.02,0.05,165638.4
Thread Group:Set grade,22,261,224,284,10.81,0.000%,.04385,6.82,0.02,159335.5
Thread Group:Debug Sampler,22,0,0,1,0.49,0.000%,.04666,0.04,0.00,920.8
Thread Group:View Grade,12,292,280,310,8.89,0.000%,.20811,49.80,0.06,245052.8
Thread Group:View bài 2,39,262,250,303,10.06,0.000%,.10930,20.76,0.03,194484.7
Thread Group:View video bai 1,33,282,258,316,15.28,0.000%,.09610,14.91,0.03,158863.6
Thread Group:View pdf bai 2,72,538,461,701,43.22,0.000%,.20355,1278.06,0.07,6429496.0
Thread Group:Start Quiz easy bài 2,6,381,368,409,15.02,0.000%,.29420,45.98,0.18,160050.2
Thread Group:Start Quiz medium bài 2,6,389,361,420,20.79,0.000%,.05027,7.86,0.03,160096.0
Thread Group:Get bộ câu hỏi medium bài 2,6,291,280,310,10.22,0.000%,.05082,7.85,0.02,158130.0
Thread Group:View video bai 2,6,291,275,305,10.08,0.000%,.05846,9.07,0.02,158886.0
TOTAL,581,345,0,1660,137.33,0.000%,.69542,799.88,0.31,1177823.1
